Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
22,0,2,2,1,4,3,3,1,4,2523,0,14,3,1,3,2,3,2,1,2,1
49,0,2,2,4,2,3,3,2,1,6567,0,14,3,0,16,2,2,15,11,5,11
43,0,3,2,3,2,2,4,1,3,4739,0,12,3,0,18,2,3,3,2,1,2
50,0,3,1,3,3,3,3,3,4,9208,0,11,3,0,16,3,3,2,2,2,1
31,1,2,1,3,1,2,1,2,3,4559,1,11,3,1,4,2,3,2,2,2,2
41,0,2,1,1,1,3,3,3,3,8189,1,13,3,1,12,2,3,9,7,0,7
26,0,2,3,1,1,3,3,1,3,2942,0,23,4,1,8,3,3,8,7,5,7
36,0,2,2,2,2,2,3,2,2,4941,0,20,4,2,7,0,3,3,2,0,1
51,1,3,2,4,1,1,1,3,4,10650,0,15,3,0,18,2,3,4,2,0,3
39,0,2,1,4,1,4,2,2,3,5902,0,14,3,1,17,1,4,15,11,5,9
25,0,2,1,3,1,1,2,2,3,8639,0,18,3,0,6,3,3,2,2,2,2
30,0,2,3,3,5,3,3,2,4,6347,1,19,3,0,12,2,1,11,9,4,7
32,1,2,2,3,2,1,3,1,1,4200,0,22,4,0,10,2,4,5,4,0,4
45,0,2,2,3,2,3,3,1,4,3452,0,13,3,0,9,2,2,6,5,0,3
38,0,2,2,5,4,4,3,2,3,4317,1,20,4,0,19,2,3,3,2,2,2
30,0,2,2,3,1,1,3,1,3,2632,0,14,3,0,5,4,2,5,4,0,4
32,0,3,1,2,2,4,1,2,4,4668,0,17,3,3,9,2,4,8,7,0,7
30,0,2,2,3,4,4,3,1,1,3204,0,14,3,1,8,3,3,3,2,2,2
30,0,2,2,1,2,2,2,1,4,2720,0,13,3,0,6,3,3,5,3,1,2
41,0,3,2,3,1,4,2,4,1,17181,0,13,3,1,21,2,2,7,6,7,7
41,0,2,2,4,1,3,3,1,1,2238,0,21,4,1,7,2,3,5,0,1,4
19,0,2,2,1,2,2,3,1,2,1483,0,14,3,0,1,3,3,1,0,0,0
40,0,3,2,3,2,2,3,2,2,5605,0,11,3,1,20,2,3,20,7,2,13
35,0,2,1,5,3,3,3,3,2,7295,0,13,3,2,10,3,3,10,8,0,6
53,0,2,1,2,3,2,3,2,3,2306,1,20,4,1,13,3,1,7,7,4,5
45,0,2,2,3,1,2,3,2,2,2348,0,18,3,1,20,2,1,17,9,0,15
32,0,3,1,3,3,2,3,3,4,8998,0,14,3,0,9,2,3,9,8,3,7
29,0,1,2,1,4,4,3,2,3,4319,0,13,3,1,10,1,3,10,7,0,9
51,0,2,2,4,2,2,2,2,3,6132,0,17,3,0,10,2,3,1,0,0,0
58,0,2,2,3,2,2,2,1,2,3346,1,20,4,1,9,3,2,1,0,0,0
40,0,2,1,4,3,3,2,3,4,10855,0,11,3,1,15,2,2,12,11,2,11
34,0,3,1,4,3,3,3,1,3,2231,0,18,3,1,6,3,3,4,3,1,2
22,0,2,2,1,2,3,3,1,4,2323,0,24,4,2,2,6,3,2,2,2,2
27,0,1,2,3,2,4,3,1,2,2024,0,18,3,1,6,1,1,2,2,2,2
28,0,2,2,3,2,3,3,1,4,2713,0,11,3,1,5,2,1,5,2,0,2
57,0,2,2,2,1,3,4,3,4,9439,1,16,3,1,12,2,1,5,3,1,4
27,0,1,2,3,2,3,2,1,3,2566,1,15,3,1,1,2,2,1,1,0,1
50,0,2,2,3,1,3,3,5,2,19926,0,15,3,0,21,5,3,5,4,4,4
41,0,2,2,3,1,1,3,1,3,2451,0,12,3,1,13,2,3,9,8,1,8
30,0,2,1,3,1,2,3,3,4,9419,0,12,3,1,12,2,3,10,9,7,4
38,0,2,1,4,1,1,2,2,4,8686,0,22,4,0,12,2,4,8,3,0,7
32,0,2,2,5,1,3,3,1,3,3038,0,20,4,0,8,2,3,5,4,1,4
27,0,2,2,3,4,3,3,1,2,3058,1,16,3,1,6,3,2,5,2,1,1
19,1,3,1,1,4,3,1,1,1,2325,0,21,4,0,1,5,4,0,0,0,0
36,0,3,2,2,2,4,3,1,2,2088,0,12,3,0,13,3,2,8,7,7,2
30,0,1,2,3,2,3,3,2,1,3072,0,11,3,2,12,4,3,12,9,6,10
45,0,2,1,2,1,3,3,2,1,5006,1,11,3,1,9,3,4,5,4,0,3
56,0,2,2,3,1,3,3,1,1,4257,1,18,3,1,19,3,3,2,2,2,2
33,0,2,2,3,1,3,3,1,4,2500,0,14,3,0,4,2,4,3,1,0,2
19,1,2,2,3,1,2,2,1,4,1102,0,22,4,0,1,3,2,1,0,1,0
46,0,2,1,2,3,2,3,3,1,10453,0,25,4,3,24,2,3,24,13,15,7
38,0,2,2,2,1,3,3,1,4,2288,0,12,3,0,2,3,3,2,2,2,1
31,0,2,2,1,2,3,3,1,4,3929,1,23,4,1,7,0,3,4,2,0,2
34,0,2,2,2,2,4,3,1,2,2311,0,15,3,0,9,3,3,3,2,1,2
41,1,2,1,2,3,2,3,1,2,3140,1,22,4,0,4,5,2,4,3,0,2
50,0,2,2,3,2,3,2,1,3,3690,0,15,3,1,5,2,2,3,2,0,2
53,0,2,2,2,2,4,4,2,1,4450,0,11,3,2,5,3,3,4,2,1,3
33,0,2,2,3,2,4,3,1,2,2756,0,13,3,1,8,5,3,8,7,1,6
40,0,2,2,1,2,4,3,5,3,19033,0,14,3,1,21,2,3,20,8,9,9
55,0,2,2,4,2,3,4,5,2,18722,0,11,3,0,36,3,3,24,15,2,15
34,0,3,2,1,1,4,2,2,3,9547,0,17,3,0,10,2,2,10,9,1,9
51,0,2,2,3,2,4,3,4,2,13734,0,18,3,0,21,6,3,7,7,1,0
52,0,2,2,4,1,3,2,5,3,19999,0,14,3,1,34,5,3,33,18,11,9
27,0,2,2,3,2,4,3,1,2,2279,0,16,3,0,7,2,2,7,7,0,3
35,1,2,2,2,1,2,2,2,3,5916,1,13,3,0,8,1,3,1,0,0,1
43,0,1,2,3,2,4,4,1,4,2089,0,14,3,3,7,3,4,5,4,2,2
45,0,1,2,2,2,1,2,4,4,16792,0,23,4,1,22,1,3,20,8,11,8
37,0,2,2,3,1,2,4,1,1,3564,1,12,3,1,8,3,2,8,7,1,7
35,0,3,2,3,2,2,3,2,2,4425,0,11,3,0,10,5,3,6,2,1,2
42,0,1,2,2,2,3,3,2,3,5265,0,16,3,1,11,5,3,5,3,0,2
38,0,2,2,4,1,4,3,2,3,6553,0,14,3,0,14,3,3,1,0,0,0
38,0,2,2,3,4,4,3,2,4,6261,0,18,3,1,9,3,1,7,7,1,7
27,0,3,2,1,4,3,2,2,1,4298,0,19,3,1,6,1,3,2,2,2,0
49,0,1,2,4,1,4,3,2,4,6804,1,15,3,2,7,0,3,7,7,1,7
34,0,3,2,4,2,4,3,1,3,3815,1,17,3,1,5,4,4,5,3,2,0
40,0,2,2,2,2,3,3,2,4,2741,1,15,3,1,15,2,4,7,2,3,7
38,1,2,2,1,2,2,3,2,1,6673,1,19,3,0,17,2,3,1,0,0,0
29,1,2,1,3,3,2,3,3,4,7639,0,22,4,3,10,3,2,10,4,1,9
22,0,2,2,3,1,4,4,1,2,2328,1,16,3,1,4,2,2,4,2,2,2
36,0,3,2,1,2,2,3,1,4,2153,0,13,3,0,8,2,3,8,1,1,7
40,0,1,2,5,1,4,2,2,4,4876,0,14,3,1,5,5,1,3,2,0,2
46,0,2,2,4,2,4,3,3,1,9396,0,16,3,1,17,3,3,4,2,0,3
32,1,2,1,4,2,4,1,3,4,10400,0,11,3,0,14,2,2,14,8,9,8
30,0,1,2,1,1,3,2,3,3,8474,0,22,4,0,12,2,3,11,8,5,8
27,0,3,1,3,1,4,3,2,3,9981,0,14,3,0,7,2,3,7,7,0,7
51,0,2,2,4,1,2,2,3,2,12490,0,16,3,2,16,5,1,10,9,4,7
30,1,2,2,3,4,4,3,1,1,2657,1,11,3,0,8,5,3,5,2,0,4
41,0,2,1,3,1,4,3,3,4,13591,1,18,3,0,16,3,3,1,0,0,0
30,1,3,1,4,3,3,2,2,1,6696,0,15,3,0,9,5,2,6,3,0,1
29,1,2,2,3,4,3,3,1,3,2058,0,14,3,0,7,1,2,6,2,1,5
45,0,1,1,3,2,4,2,3,4,8865,0,12,3,0,23,2,3,19,7,12,8
54,0,2,1,3,3,4,3,2,1,5940,0,14,3,1,16,4,3,6,2,0,5
36,0,2,2,2,1,4,3,2,2,5914,0,16,3,0,16,3,4,13,11,3,7
33,0,2,2,4,2,3,2,1,2,2622,0,21,4,0,7,3,3,3,2,1,1
37,0,3,2,3,6,2,3,3,4,12185,1,14,3,3,10,1,3,10,8,0,7
38,0,2,1,3,1,1,3,3,3,10609,0,12,3,2,17,6,2,16,10,5,13
31,0,1,2,4,2,3,1,2,3,4345,0,12,3,1,6,2,3,5,4,1,4
59,0,2,2,3,1,3,2,1,4,2177,0,17,3,1,7,6,3,1,0,0,0
37,0,3,1,4,3,1,3,1,4,2793,0,17,3,1,13,2,3,9,8,5,8
29,0,3,1,1,2,2,3,3,4,7918,0,14,3,1,11,5,3,11,10,4,1
35,0,3,1,3,3,3,3,3,3,8789,0,14,3,0,10,3,4,10,7,0,8
29,1,2,2,1,2,3,2,1,4,2389,1,13,3,0,4,3,2,4,3,0,1
52,0,2,2,3,1,3,2,1,4,3212,0,15,3,0,6,3,2,2,2,2,2
42,0,2,2,2,4,3,3,5,4,19232,0,11,3,0,22,3,3,22,17,11,15
59,0,2,3,2,2,2,3,1,3,2267,0,17,3,0,7,2,2,2,2,2,2
50,0,2,1,4,2,4,3,5,4,19517,0,11,3,1,32,3,2,7,0,0,6
33,1,2,2,3,2,3,3,1,4,2436,1,13,3,1,8,2,1,5,4,0,4
43,0,2,1,3,3,4,3,4,4,16064,1,22,4,1,22,3,3,17,13,1,9
33,1,2,2,2,1,1,3,1,1,2707,0,20,4,0,13,3,4,9,7,1,7
52,0,1,1,4,1,1,2,5,3,19068,1,18,3,0,33,2,4,33,7,15,12
32,0,2,1,2,1,3,3,1,2,3931,0,11,3,1,6,5,3,4,3,1,2
32,1,2,2,3,1,4,2,1,3,3730,1,14,3,0,4,2,1,3,2,1,2
39,0,2,2,4,2,3,3,1,3,2232,0,14,3,3,7,1,3,3,2,1,2
32,0,1,1,4,3,3,3,2,4,4465,0,18,3,0,4,2,3,3,2,2,2
41,0,2,2,2,1,3,3,2,1,3072,0,16,3,2,17,2,2,1,0,0,0
40,0,2,2,2,4,1,3,2,4,3319,0,17,3,2,9,3,3,9,8,4,7
45,0,2,2,3,6,3,4,5,4,19202,0,11,3,1,25,2,3,24,0,1,7
31,0,3,2,4,2,2,3,3,3,13675,0,12,3,1,9,3,3,2,2,2,2
33,0,2,2,4,1,3,2,1,4,2911,0,13,3,1,2,2,2,2,2,0,2
34,0,2,2,4,1,4,2,2,1,5957,0,13,3,1,13,3,3,11,9,5,9
37,0,2,2,2,2,3,2,1,1,3920,0,14,3,1,17,2,2,3,1,0,2
45,0,3,2,4,1,1,4,2,3,6434,0,17,3,1,9,1,3,3,2,0,2
37,1,3,2,3,2,1,3,3,3,10048,0,11,3,2,17,5,3,1,0,0,0
39,0,3,2,4,4,3,3,3,3,10938,0,25,4,0,20,1,3,19,6,11,8
29,0,2,2,3,1,3,3,1,4,2340,0,19,3,0,6,1,3,6,5,1,5
42,0,2,2,2,1,4,4,2,1,6545,1,13,3,0,10,1,3,3,2,0,2
29,0,2,1,2,3,4,3,2,4,6931,0,14,3,1,10,2,3,3,2,0,2
25,0,2,2,3,1,1,3,2,3,4898,0,12,3,2,5,3,3,4,2,1,2
42,0,2,2,3,2,4,2,1,1,2593,1,11,3,1,10,4,3,9,6,7,8
40,0,2,2,2,2,1,3,5,3,19436,0,19,3,1,22,5,3,21,7,3,9
51,0,2,2,3,1,3,3,1,4,2723,0,11,3,0,1,0,2,1,0,0,0
31,1,3,2,2,2,3,2,1,2,3479,0,11,3,0,6,2,4,5,4,1,4
32,0,3,2,3,1,2,4,1,2,2794,0,20,4,0,5,3,1,5,1,0,3
38,0,1,1,2,1,4,2,2,4,5249,0,18,3,1,13,0,3,8,7,7,5
32,0,2,2,1,4,4,2,2,1,2176,0,13,3,0,9,5,3,6,2,0,4
46,0,2,1,3,4,3,1,4,2,16872,1,12,3,1,28,2,2,7,7,7,7
28,1,2,2,4,1,1,3,1,3,3485,0,11,3,0,5,5,1,0,0,0,0
29,0,2,1,3,2,1,2,2,2,6644,0,19,3,2,10,2,3,0,0,0,0
31,0,2,2,3,2,2,2,2,4,5582,0,21,4,1,10,2,3,9,0,7,8
25,0,1,2,2,1,2,4,2,1,4000,0,12,3,2,6,2,3,6,3,1,5
45,0,2,2,2,2,3,3,4,4,13496,1,14,3,0,21,2,3,20,7,4,10
36,0,2,2,3,1,4,3,1,4,3210,0,11,3,1,16,4,3,15,13,10,11
55,0,2,2,3,2,4,3,5,1,19045,1,14,3,0,37,2,3,36,10,4,13
47,1,1,2,4,1,1,3,3,2,11849,1,12,3,1,10,2,2,10,7,9,9
28,0,2,2,3,2,4,3,1,4,2070,0,23,4,1,5,3,2,5,2,0,4
37,0,2,1,4,2,3,3,2,4,6502,0,14,3,1,7,5,4,5,4,0,1
21,0,2,2,2,2,4,2,1,3,3230,0,17,3,0,3,4,4,3,2,1,0
37,0,1,2,4,2,1,3,3,4,13603,1,18,3,2,15,2,3,5,2,0,2
35,0,2,2,3,1,2,4,3,2,11996,0,18,3,1,10,6,2,7,7,6,2
38,0,2,1,2,2,1,4,2,1,5605,1,24,4,1,8,3,3,8,0,7,7
26,0,3,2,3,1,3,3,2,2,6397,0,20,4,1,6,6,1,6,5,1,4
50,0,2,2,1,1,1,3,5,2,19144,0,14,3,2,28,4,2,10,4,1,6
53,0,2,2,4,2,3,3,4,3,17584,1,16,3,3,21,5,2,5,3,1,3
42,0,2,1,1,1,2,3,2,3,4907,0,25,4,0,20,3,3,20,16,11,6
29,0,3,1,2,1,2,3,2,4,4554,0,18,3,0,10,3,2,10,7,0,9
55,0,2,2,2,4,2,3,2,4,5415,1,19,3,1,12,4,3,10,7,0,8
26,0,3,2,2,2,1,3,2,1,4741,1,13,3,1,5,3,3,5,3,3,3
37,0,2,2,3,1,4,3,1,4,2115,0,12,3,0,17,3,3,17,12,5,7
44,1,3,2,3,1,4,3,1,3,3161,1,22,4,1,19,0,1,1,0,0,0
38,0,2,2,4,1,4,3,2,4,5745,0,14,3,1,10,2,3,2,2,1,2
26,1,2,2,4,2,1,3,1,2,2373,1,13,3,1,5,2,3,3,2,0,2
28,0,2,2,2,1,4,3,1,4,3310,0,21,4,0,5,3,3,5,3,0,2
49,0,3,2,4,1,3,3,5,1,18665,1,11,3,0,22,4,3,3,2,1,2
36,0,2,2,3,4,3,3,2,2,4485,0,12,3,0,10,2,3,8,0,7,7
31,0,3,1,3,3,4,3,1,2,2789,0,11,3,1,2,5,2,2,2,2,2
26,1,2,1,4,3,4,2,2,4,5828,1,12,3,0,8,0,3,8,7,7,4
37,0,3,2,3,2,2,3,1,4,2326,1,12,3,3,4,3,2,4,2,1,2
42,0,3,1,3,3,3,3,4,2,13525,0,14,3,1,23,2,4,20,4,4,8
18,1,2,2,3,1,3,3,1,3,1420,0,13,3,0,0,2,3,0,0,0,0
35,0,2,1,3,3,3,3,3,2,8020,0,15,3,2,12,3,2,11,9,6,9
36,0,3,2,4,1,3,4,1,4,3688,0,18,3,2,4,2,3,1,0,0,0
51,0,2,2,3,2,4,1,2,2,5482,0,18,3,1,13,3,3,4,1,1,2
41,0,2,1,4,1,4,3,4,2,16015,0,19,3,0,22,2,3,22,10,0,4
18,0,2,1,3,2,4,2,1,3,1200,0,12,3,0,0,2,3,0,0,0,0
28,0,2,2,2,2,2,4,2,1,5661,0,19,3,0,9,2,3,8,3,0,7
